S.no.,Wave,AGE,NATIONALITY,GENDER,Preferred brand,Love_index,Fav flavor,wide variety,Outdoor seating,new products,VFM,cust service,healthy foods,branches across,drivethru,packaging,delivery,opens 24/7,calm place,Decorof the shopcor ,comfortable seating,app for early order ,variety of milk,saudi company,International brand,consistent,trustworthy,spacious shops,maket leader,recommended brand,quality of beans,customozition,No VAT,Brand Functionality,Innovation ,Uniqueness / Different,Price,Worth,Physical Availability,Mental Availability
E7Uwzgl,3,32,Syrian,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,7,2,7,6
O4h9Oox,3,27,Saudis,Male,Half Million,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,8,2,6,5
ryNpPKl,3,25,"Westerners (European, American)",Female,Dunkin Coffee,10,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,9,9,1,7,7
sAJsa86,3,20,Saudis,Female,Barns,9,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,8,9,9,4,1,5,7
XM6dM4x,3,26,Saudis,Female,Half Million,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,2,9,3,9,4,3
CfRrTEn,3,31,Saudis,Male,Other 1 from Q018,10,1,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,10,10,9,7,1,7,7
tAR0Di7,3,36,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,6,6
fMM6aHh,3,23,Saudis,Female,Dunkin Coffee,7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,5,6,5,2,4,4
ZDvfQYY,3,22,Saudis,Male,Jolt,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,9,6,5
0R3Lp41,3,33,Pakistani,Male,Starbucks,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,9,9,9,7,2,6,7
XnicwDi,3,34,Egyptian,Male,Dunkin Coffee,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,9,4,9,8,0,6,6
7WbizMm,3,34,Saudis,Male,Barns,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,7,2,7,6
PDBPJW6,3,27,Palestinian,Female,Other from Q017,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,4,3,5,3,9,7,3
y3fOZj9,3,30,Saudis,Female,Dunkin Coffee,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7,8,10,2,0,7,7
eNLkLkZ,3,24,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,7,7
0Vv8D1n,3,41,Saudis,Male,Starbucks,10,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,10,8,10,9,2,7,5
DdRxvti,3,27,Saudis,Male,Starbucks,5,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,6,1,5,5
6jMhntW,3,27,Saudis,Male,Dunkin Coffee,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,6,9,8,9,6,7
WBJBzZ6,3,24,"Westerners (European, American)",Male,Starbucks,9,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,8,8,8,6,2,4,3
oFi0bPK,3,45,Palestinian,Male,Other 1 from Q018,6,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,5,4,5,2,1,7,1
0a4epHi,3,28,Saudis,Female,Tim Hortons,10,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,10,10,10,9,1,5,6
dmYMcmo,3,31,Saudis,Female,Dunkin Coffee,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,8,9,3,0,5,5
y5QflOY,3,27,Saudis,Female,Starbucks,8,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,6,5,5,6,1,7,3
wzyi0xo,3,32,Saudis,Male,Barns,10,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,10,10,6,0,1,6,7
zZkDNzI,3,33,Saudis,Male,Kyan,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,10,10,10,9,1,7,7
duWZlW2,3,26,Saudis,Female,Half Million,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,10,5,4,3,0,3,1
lzVLs0X,3,42,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,10,10,10,0,2,1,7
i1wzNXq,3,46,Sudanese,Male,Dr  Caf,10,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,10,10,10,10,1,4,7
olcEPHC,3,22,Saudis,Female,OverDose,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,6,10,5,2,0,5,4
RDy155v,3,30,Saudis,Male,Mc Cafe,9,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,8,8,7,4,1,6,5
rzVqj2B,3,35,Saudis,Male,Dr  Caf,9,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,8,8,8,5,1,6,6
5VbVR0M,3,52,Syrian,Male,Barns,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,7,8,5,1,5,5
P84zonI,3,36,Pakistani,Male,Starbucks,5,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,7,7,6,6,1,5,7
tzyXHbz,3,22,Saudis,Female,Starbucks,10,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,10,10,10,9,1,5,5
Vvm1M2F,3,31,Indian,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,6,4,5,8,1,6,4
YncivV5,3,38,Saudis,Male,Starbucks,8,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,6,7,8,9,1,6,6
mgpX2Wx,3,35,Saudis,Male,Starbucks,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,5,6,5,4,1,5,5
yuVXUU0,3,49,Pakistani,Male,Starbucks,99,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,8,10,2,7,0,6,6
EM4h2Na,3,20,Saudis,Female,Mc Cafe,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,5,1,7,1
JiT5XB7,3,41,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,7,10,5,1,7,6
mHd96WI,3,20,Saudis,Male,Starbucks,10,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,2,8,10,5,2,5,3
ayFvbTC,3,24,Saudis,Female,Starbucks,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,10,6,1,2,6
q8Cgzc2,3,32,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,10,10,10,5,1,7,7
dFZYdAR,3,31,Saudis,Female,Mc Cafe,9,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,5,8,9,6,2,6,6
3oypXMU,3,20,Saudis,Female,Barns,9,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,5,5,6,1,7,4
hcOPWai,3,38,Saudis,Female,Dr  Caf,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,7,0,4,1
LccC82T,3,32,Saudis,Female,Starbucks,9,1,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,4,5,3,5,1,7,6
8ReLOKI,3,32,Saudis,Female,Tim Hortons,9,0,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,9,9,10,5,1,4,5
eXAXtey,3,22,Saudis,Male,Barns,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,10,10,8,0,7,7
u8tahHU,3,39,Saudis,Female,Starbucks,5,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,7,7,5,5,1,7,5
A7gRXrA,3,33,Saudis,Male,Dunkin Coffee,7,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,6,3,3,3,1,4,4
6YGbsHE,3,27,Saudis,Male,Dunkin Coffee,8,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,8,9,9,1,1,6,6
2Gma4NJ,3,19,Saudis,Female,Dunkin Coffee,10,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,10,10,10,9,1,6,7
KGhT7Ae,3,19,Saudis,Female,Tim Hortons,5,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,5,3,6,8,1,4,3
jZtryIF,3,18,Saudis,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIfvArz,3,32,Saudis,Female,Starbucks,10,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,9,10,10,10,1,7,7
44WRzuN,3,18,Saudis,Female,Starbucks,10,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,10,5,10,4,1,5,6
usurLFa,3,41,Indian,Male,Starbucks,9,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,10,10,5,9,2,7,7
rMRzQWd,3,29,Saudis,Male,Mc Cafe,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,7,7,3,0,4,5
OFXNUQE,3,25,Saudis,Male,Kyan,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,9,10,10,9,1,5,7
RYDkYEW,3,29,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,5,2,7,7
67C9DCJ,3,31,Saudis,Female,Dose caf,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,7,8,7,4,0,5,5
ZB4bL8h,3,26,Saudis,Male,Coffee Address,4,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,7,4,5,5,1,6,5
aptgJZ2,3,26,Saudis,Female,Half Million,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,3,9,5,4
vN5e9No,3,31,Indian,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,9,7,8,8,1,5,5
CUJeu5U,3,24,Saudis,Female,Half Million,9,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,10,10,10,10,0,7,7
AMGcyE5,3,21,Saudis,Male,Half Million,10,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,10,10,10,4,0,7,4
5crMnIz,3,36,Saudis,Male,Starbucks,10,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,10,9,10,9,1,6,7
BFPrTZH,3,42,Saudis,Female,Starbucks,10,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,8,9,9,3,1,4,5
z6euTd0,3,25,Saudis,Male,Starbucks,99,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,9,9,10,10,1,7,7
dVjqwwB,3,24,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,7,1,6,6
9ZL0pHr,3,33,Saudis,Male,Half Million,9,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,10,8,9,7,0,5,5
0p2tmhp,3,35,Saudis,Male,Starbucks,9,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,9,9,9,5,1,6,6
PaA5oZo,3,38,Saudis,Female,Starbucks,5,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0,4,4,4,4,1,4,4
cdUyHE3,3,30,Saudis,Female,Starbucks,10,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,10,10,10,9,1,5,3
jR5KZnf,3,28,Saudis,Female,Barns,8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,9,9,9,1,6,7
dXnMqkc,3,26,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
ZDFBrZ4,3,22,Saudis,Male,OverDose,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,5,9,7,2,2,4,3
5Ot9aOt,3,37,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,10,2,5,6
VIoxWiT,3,31,Saudis,Female,Starbucks,10,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,10,10,10,10,0,7,7
NvCkjCB,3,24,Saudis,Female,Starbucks,10,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,5,4,5,2,1,2,5
W2b9Fph,3,28,Saudis,Female,Half Million,10,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,10,10,10,9,1,7,5
r4Fhrxl,3,23,Saudis,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,2,7,7
NVM0yta,3,35,Pakistani,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,8,9,4,2,7,7
aq43WXD,3,28,Saudis,Male,Java caf,10,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,2,3,3,2,0,5,5
yhgfb7W,3,50,Saudis,Male,Dunkin Coffee,10,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,10,10,10,4,1,7,7
buoeZe8,3,30,Saudis,Female,Kyan,10,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,10,7,10,8,2,6,7
UnfnQSa,3,27,Saudis,Female,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,0,7,7
PMbs8zM,3,27,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,8,1,5,5
pLJbf90,3,37,Palestinian,Female,Dunkin Coffee,5,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,5,8,10,4,1,6,7
TBOuKNq,3,32,Saudis,Female,Dunkin Coffee,6,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,4,5,7,7,0,4,5
GeUdw9k,3,41,Saudis,Female,Dr  Caf,9,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,5,10,3,5,1,6,6
DxXJa2d,3,25,Saudis,Female,Dunkin Coffee,8,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,7,10,9,7,1,5,4
UgLoSWY,3,25,Saudis,Male,Half Million,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,10,10,10,2,7,7
rQ7qJlQ,3,32,Egyptian,Male,Dunkin Coffee,9,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,5,9,9,9,2,7,6
cB06JU1,3,29,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,3,1,7,6
3maeL3q,3,40,Saudis,Female,Starbucks,10,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,10,9,10,8,1,7,7
vhqwnWT,3,37,Saudis,Female,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lFRjFbg,3,32,Saudis,Male,Starbucks,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,9,9,3,0,5,5
CwiJmsd,3,32,Egyptian,Male,Starbucks,10,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,10,10,10,4,1,6,6
lKMWPlu,3,32,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,10,10,10,10,1,7,7
JnpJQPc,3,43,Egyptian,Male,Starbucks,9,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,9,10,8,7,1,5,6
RUrZaoj,3,36,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,1,1,7,7
KqA8OMk,3,28,Saudis,Male,Half Million,9,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,7,8,10,10,0,5,5
38QPSIc,3,27,Saudis,Female,Starbucks,7,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,6,5,6,4,0,4,7
MKgbRDU,3,27,Saudis,Female,Starbucks,10,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,9,9,8,3,1,5,4
m335eGB,3,40,Saudis,Female,Dunkin Coffee,3,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,6,6,7,5,2,4,5
bPLjD41,3,35,Saudis,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,9,9,3,0,6,6
RXopSHJ,3,34,Saudis,Female,Starbucks,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,7,0,4,4
t5UJ9gq,3,39,Sudanese,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,6,1,5,5
wpPiWC4,3,41,Egyptian,Male,Half Million,10,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,10,10,10,6,1,5,6
4WYl8BC,3,41,Egyptian,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,10,10,4,1,7,7
BwN79Vo,3,36,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,9,9,9,6,1,6,6
8ZYhtdB,3,32,Saudis,Female,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,10,10,10,10,1,7,7
TKN4W4q,3,26,Saudis,Female,Half Million,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,0,4,3
97v2N5L,3,36,Saudis,Female,Half Million,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,10,10,10,6,1,7,4
N855J8z,3,27,Saudis,Female,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,9,1,6,5
1bowRcJ,3,33,Saudis,Male,Dunkin Coffee,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,9,8,9,7,1,5,5
oID8jTy,3,29,Saudis,Male,Mc Cafe,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,5,5,1,7,7
w8Vr7s9,3,37,Saudis,Male,Starbucks,10,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,10,10,10,8,1,5,6
fJ0qRpQ,3,28,Saudis,Female,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,1,7,7
PcT7DF1,3,36,Saudis,Female,Half Million,7,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,7,6,6,5,1,5,7
ufiSNvs,3,28,Saudis,Male,Dunkin Coffee,5,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,8,4,8,5,1,5,4
6KMz3V7,3,40,Saudis,Male,Half Million,10,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,10,10,10,9,1,5,6
QlHdEB9,3,32,Saudis,Male,Starbucks,10,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,10,10,10,10,0,6,6
fxuhWJV,3,28,Indian,Male,Half Million,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,10,10,10,9,0,7,7
pewQ8wi,3,56,Pakistani,Male,Starbucks,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,1,7,7
0ixvz0R,3,28,Saudis,Female,Other from Q017,9,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,4,5,5,9,1,5,5
ry4Ct0D,3,28,Pakistani,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,3,10,10,10,2,7,7
NYwFNmA,3,32,Saudis,Male,Half Million,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0,3,6,1,4,1
hm6G5iE,3,33,Saudis,Female,Half Million,8,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,7,1,6,6
4a6SVDi,3,32,Indian,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,7,1,7,6
YFNGrKW,3,28,Saudis,Female,OverDose,10,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,9,10,10,7,0,7,6
jF8IYX3,3,37,Saudis,Female,Half Million,10,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,10,10,10,7,2,6,7
Z6yQLNt,3,32,Saudis,Male,Dunkin Coffee,10,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,10,10,10,6,1,7,7
IEUsNLq,3,29,Saudis,Female,Half Million,4,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,8,6,8,5,1,5,3
nJnMfoo,3,29,Saudis,Male,Tim Hortons,10,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,10,9,10,5,1,7,5
RKObOO4,3,37,Saudis,Male,Half Million,10,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,10,10,10,4,9,6,5
3qgoia4,3,27,Saudis,Female,Half Million,10,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,10,10,10,8,1,4,5
Ywba7Z7,3,56,Pakistani,Male,Starbucks,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,10,10,10,0,7,6
FnAvKPH,3,37,Saudis,Female,Half Million,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,7,6,6,5,0,7,6
yTI1kog,3,36,Saudis,Female,Dunkin Coffee,8,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,9,9,8,7,2,5,5
svezxBN,3,32,Saudis,Female,Half Million,8,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,8,8,8,7,1,5,5
